EL,IT,BTE,EGT,PCP,NHRR,ID,CO,HC,CO2,NOx
20,20,10.19,169,37.99,35.11,15,44,55,0.6,45
40,20,17.17,200,38.11,37.11,15,40,33,0.7,40
60,20,21.33,235,40.77,39.77,14,25,21,1.21,25
80,20,25.11,260,42.11,41.22,13,30,25,1.41,30
100,20,26.79,308,44.52,43.66,13,40,45,1.71,40
20,23,9.11,177,40.11,34,18,55,47,0.67,55
40,23,16.17,210,41.77,36.77,17,29,35,0.7,29
60,23,20.77,240,42.22,39.11,16,25,26,1.37,25
80,23,23.77,280,44.67,40.99,15,32,30,1.68,32
100,23,24.22,324,46.168,43.37,14,50,55,2,50
20,25,9.03,180,42.91,32.11,18,35,57,0.7,35
40,25,16,215,44,33,17,33,37,0.8,33
60,25,19.99,245,46.51,35,16,35,25,1.39,35
80,25,22.67,284,48.99,37,13,38,27,1.7,38
100,25,24.11,330,50.17,38.95,13,58,58,1.9,58
20,28,8.9,181,46.11,31.77,18,32,53,0.6,32
40,28,16.77,215,47.89,32.22,17,27,36,0.69,27
60,28,19.19,247,49.77,33.77,16,26,23,1.31,26
80,28,24.37,281,51.77,35.11,16,33,29,1.61,33
100,28,25.11,335,52.18,37.14,13,52,52,1.8,52
